题目,出现次数,链接,分类
剑指 Offer 22. 链表中倒数第k个节点,8,https://leetcode-cn.com/problems/lian-biao-zhong-dao-shu-di-kge-jie-dian-lcof,链表
93. 复原IP地址,8,https://leetcode-cn.com/problems/restore-ip-addresses,其他
440. 字典序的第K小数字,8,https://leetcode-cn.com/problems/k-th-smallest-in-lexicographical-order,数学
70. 爬楼梯,7,https://leetcode-cn.com/problems/climbing-stairs,其他
112. 路径总和,7,https://leetcode-cn.com/problems/path-sum,动态规划
695. 岛屿的最大面积,7,https://leetcode-cn.com/problems/max-area-of-island,其他
138. 复制带随机指针的链表,7,https://leetcode-cn.com/problems/copy-list-with-random-pointer,链表
19. 删除链表的倒数第N个节点,7,https://leetcode-cn.com/problems/remove-nth-node-from-end-of-list,链表
129. 求根到叶子节点数字之和,7,https://leetcode-cn.com/problems/sum-root-to-leaf-numbers,数学
662. 二叉树最大宽度,7,https://leetcode-cn.com/problems/maximum-width-of-binary-tree,树
240. 搜索二维矩阵 II,7,https://leetcode-cn.com/problems/search-a-2d-matrix-ii,其他
556. 下一个更大元素 III,7,https://leetcode-cn.com/problems/next-greater-element-iii,其他
230. 二叉搜索树中第K小的元素,6,https://leetcode-cn.com/problems/kth-smallest-element-in-a-bst,树
110. 平衡二叉树,6,https://leetcode-cn.com/problems/balanced-binary-tree,树
328. 奇偶链表,6,https://leetcode-cn.com/problems/odd-even-linked-list,链表
460. LFU缓存,6,https://leetcode-cn.com/problems/lfu-cache,其他
64. 最小路径和,6,https://leetcode-cn.com/problems/minimum-path-sum,动态规划
61. 旋转链表,6,https://leetcode-cn.com/problems/rotate-list,链表
188. 买卖股票的最佳时机 IV,6,https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock-iv,动态规划
224. 基本计算器,6,https://leetcode-cn.com/problems/basic-calculator,其他
剑指 Offer 36. 二叉搜索树与双向链表,6,https://leetcode-cn.com/problems/er-cha-sou-suo-shu-yu-shuang-xiang-lian-biao-lcof,链表
226. 翻转二叉树,6,https://leetcode-cn.com/problems/invert-binary-tree,树
209. 长度最小的子数组,6,https://leetcode-cn.com/problems/minimum-size-subarray-sum,数组
862. 和至少为 K 的最短子数组,6,https://leetcode-cn.com/problems/shortest-subarray-with-sum-at-least-k,数组
11. 盛最多水的容器,6,https://leetcode-cn.com/problems/container-with-most-water,其他
补充题7. 木头切割问题,6,https://mp.weixin.qq.com/s/FQma0bdAWbzLMmCKhZRk7w,其他
补充题23. 检测循环依赖,6,https://mp.weixin.qq.com/s/pCRscwKqQdYYN7M1Sia7xA,其他
108. 将有序数组转换为二叉搜索树,5,https://leetcode-cn.com/problems/convert-sorted-array-to-binary-search-tree,树
1143. 最长公共子序列,5,https://leetcode-cn.com/problems/longest-common-subsequence,动态规划
297. 二叉树的序列化与反序列化,5,https://leetcode-cn.com/problems/serialize-and-deserialize-binary-tree,树
560. 和为K的子数组,5,https://leetcode-cn.com/problems/subarray-sum-equals-k,数组
704. 二分查找,5,https://leetcode-cn.com/problems/binary-search,其他
670. 最大交换,5,https://leetcode-cn.com/problems/maximum-swap,其他
421. 数组中两个数的最大异或值,5,https://leetcode-cn.com/problems/maximum-xor-of-two-numbers-in-an-array,数组
104. 二叉树的最大深度,5,https://leetcode-cn.com/problems/maximum-depth-of-binary-tree,树
135. 分发糖果,5,https://leetcode-cn.com/problems/candy,其他
151. 翻转字符串里的单词,5,https://leetcode-cn.com/problems/reverse-words-in-a-string,字符串
287. 寻找重复数,5,https://leetcode-cn.com/problems/find-the-duplicate-number,数学
528. 按权重随机选择,5,https://leetcode-cn.com/problems/random-pick-with-weight,其他
91. 解码方法,5,https://leetcode-cn.com/problems/decode-ways,其他
59. 螺旋矩阵 II,5,https://leetcode-cn.com/problems/spiral-matrix-ii,其他
718. 最长重复子数组,5,https://leetcode-cn.com/problems/maximum-length-of-repeated-subarray,数组
139. 单词拆分,4,https://leetcode-cn.com/problems/word-break,其他
剑指 Offer 11. 旋转数组的最小数字,4,https://leetcode-cn.com/problems/xuan-zhuan-shu-zu-de-zui-xiao-shu-zi-lcof,数组
62. 不同路径,4,https://leetcode-cn.com/problems/unique-paths,动态规划
剑指 Offer 51. 数组中的逆序对,4,https://leetcode-cn.com/problems/shu-zu-zhong-de-ni-xu-dui-lcof,数组
40. 组合总和 II,4,https://leetcode-cn.com/problems/combination-sum-ii,其他
1047. 删除字符串中的所有相邻重复项,4,https://leetcode-cn.com/problems/remove-all-adjacent-duplicates-in-string,字符串
402. 移掉K位数字,4,https://leetcode-cn.com/problems/remove-k-digits,数学
169. 多数元素,4,https://leetcode-cn.com/problems/majority-element,数学
152. 乘积最大子数组,4,https://leetcode-cn.com/problems/maximum-product-subarray,数组
"50. Pow(x, n)",4,https://leetcode-cn.com/problems/powx-n,其他
4. 寻找两个正序数组的中位数,4,https://leetcode-cn.com/problems/median-of-two-sorted-arrays,数组
456. 132模式,4,https://leetcode-cn.com/problems/132-pattern,其他
239. 滑动窗口最大值,4,https://leetcode-cn.com/problems/sliding-window-maximum,其他
722. 删除注释,4,https://leetcode-cn.com/problems/remove-comments,其他
1095. 山脉数组中查找目标值,4,https://leetcode-cn.com/problems/find-in-mountain-array,数组
72. 编辑距离,4,https://leetcode-cn.com/problems/edit-distance,其他
153. 寻找旋转排序数组中的最小值,4,https://leetcode-cn.com/problems/find-minimum-in-rotated-sorted-array,数组
补充题3. 求区间最小数乘区间和的最大值,4,https://mp.weixin.qq.com/s/UFv7pt_djjZoK_gzUBrRXA,数学
补充题6. 手撕堆排序,4,https://leetcode-cn.com/problems/sort-an-array,其他
227. 基本计算器 II,4,https://leetcode-cn.com/problems/basic-calculator-ii,其他
763. 划分字母区间,4,https://leetcode-cn.com/problems/partition-labels,其他
剑指 Offer 53 - I. 在排序数组中查找数字 I,4,https://leetcode-cn.com/problems/zai-pai-xu-shu-zu-zhong-cha-zhao-shu-zi-lcof,数组
剑指 Offer 61. 扑克牌中的顺子,3,https://leetcode-cn.com/problems/bu-ke-pai-zhong-de-shun-zi-lcof,其他
977. 有序数组的平方,3,https://leetcode-cn.com/problems/squares-of-a-sorted-array,数组
剑指 Offer 09. 用两个栈实现队列,3,https://leetcode-cn.com/problems/yong-liang-ge-zhan-shi-xian-dui-lie-lcof,栈与队列
503. 下一个更大元素 II,3,https://leetcode-cn.com/problems/next-greater-element-ii,其他
283. 移动零,3,https://leetcode-cn.com/problems/move-zeroes,其他
166. 分数到小数,3,https://leetcode-cn.com/problems/fraction-to-recurring-decimal,数学
264. 丑数 II,3,https://leetcode-cn.com/problems/ugly-number-ii,数学
210. 课程表 II,3,https://leetcode-cn.com/problems/course-schedule-ii,其他
394. 字符串解码,3,https://leetcode-cn.com/problems/decode-string,字符串
145. 二叉树的后序遍历,3,https://leetcode-cn.com/problems/binary-tree-postorder-traversal,树
71. 简化路径,3,https://leetcode-cn.com/problems/simplify-path,动态规划
134. 加油站,3,https://leetcode-cn.com/problems/gas-station,其他
340. 至多包含 K 个不同字符的最长子串,3,https://leetcode-cn.com/problems/longest-substring-with-at-most-k-distinct-characters,动态规划
86. 分隔链表,3,https://leetcode-cn.com/problems/partition-list,链表
329. 矩阵中的最长递增路径,3,https://leetcode-cn.com/problems/longest-increasing-path-in-a-matrix,动态规划
144. 二叉树的前序遍历,3,https://leetcode-cn.com/problems/binary-tree-preorder-traversal,树
10. 正则表达式匹配,3,https://leetcode-cn.com/problems/regular-expression-matching,其他
剑指 Offer 46. 把数字翻译成字符串,3,https://leetcode-cn.com/problems/ba-shu-zi-fan-yi-cheng-zi-fu-chuan-lcof,字符串
136. 只出现一次的数字,3,https://leetcode-cn.com/problems/single-number,数学
18. 四数之和,3,https://leetcode-cn.com/problems/4sum,数学
剑指 Offer 27. 二叉树的镜像,3,https://leetcode-cn.com/problems/er-cha-shu-de-jing-xiang-lcof,树
225. 用队列实现栈,3,https://leetcode-cn.com/problems/implement-stack-using-queues,栈与队列
647. 回文子串,3,https://leetcode-cn.com/problems/palindromic-substrings,动态规划
34. 在排序数组中查找元素的第一个和最后一个位置,3,https://leetcode-cn.com/problems/find-first-and-last-position-of-element-in-sorted-array,数组
