题目,出现次数,链接,分类
剑指 Offer 68 - II. 二叉树的最近公共祖先,1,https://leetcode-cn.com/problems/er-cha-shu-de-zui-jin-gong-gong-zu-xian-lcof,树
848. 字母移位,1,https://leetcode-cn.com/problems/shifting-letters,其他
6. Z 字形变换,1,https://leetcode-cn.com/problems/zigzag-conversion,其他
990. 等式方程的可满足性,1,https://leetcode-cn.com/problems/satisfiability-of-equality-equations,其他
567. 字符串的排列,1,https://leetcode-cn.com/problems/permutation-in-string,字符串
496. 下一个更大元素 I,1,https://leetcode-cn.com/problems/next-greater-element-i,其他
967. 连续差相同的数字,1,https://leetcode-cn.com/problems/numbers-with-same-consecutive-differences,数学
1405. 最长快乐字符串,1,https://leetcode-cn.com/problems/longest-happy-string,字符串
1353. 最多可以参加的会议数目,1,https://leetcode-cn.com/problems/maximum-number-of-events-that-can-be-attended,数学
1574. 删除最短的子数组使剩余数组有序,1,https://leetcode-cn.com/problems/shortest-subarray-to-be-removed-to-make-array-sorted,数组
949. 给定数字能组成的最大时间,1,https://leetcode-cn.com/problems/largest-time-for-given-digits,数学
剑指 Offer 31. 栈的压入、弹出序列,1,https://leetcode-cn.com/problems/zhan-de-ya-ru-dan-chu-xu-lie-lcof,栈与队列
213. 打家劫舍 II,1,https://leetcode-cn.com/problems/house-robber-ii,其他
剑指 Offer 40. 最小的k个数,1,https://leetcode-cn.com/problems/zui-xiao-de-kge-shu-lcof,数学
1475. 商品折扣后的最终价格,1,https://leetcode-cn.com/problems/final-prices-with-a-special-discount-in-a-shop,其他
剑指 Offer 43. 1～n整数中1出现的次数,1,https://leetcode-cn.com/problems/1nzheng-shu-zhong-1chu-xian-de-ci-shu-lcof,数学
706. 设计哈希映射,1,https://leetcode-cn.com/problems/design-hashmap,其他
252. 会议室,1,https://leetcode-cn.com/problems/meeting-rooms,其他
剑指 Offer 63. 股票的最大利润,1,https://leetcode-cn.com/problems/gu-piao-de-zui-da-li-run-lcof,动态规划
680. 验证回文字符串 Ⅱ,1,https://leetcode-cn.com/problems/valid-palindrome-ii,字符串
341. 扁平化嵌套列表迭代器,1,https://leetcode-cn.com/problems/flatten-nested-list-iterator,其他
140. 单词拆分 II,1,https://leetcode-cn.com/problems/word-break-ii,其他
716. 最大栈,1,https://leetcode-cn.com/problems/max-stack,栈与队列
214. 最短回文串,1,https://leetcode-cn.com/problems/shortest-palindrome,其他
633. 平方数之和,1,https://leetcode-cn.com/problems/sum-of-square-numbers,数学
补充题17. 两个有序数组第k小的数,1,,数组
589. N叉树的前序遍历,1,https://leetcode-cn.com/problems/n-ary-tree-preorder-traversal,树
1675. 数组的最小偏移量,1,https://leetcode-cn.com/problems/minimize-deviation-in-array,数组
485. 最大连续1的个数,1,https://leetcode-cn.com/problems/max-consecutive-ones,数学
补充题8. 计算数组的小和,1,https://mp.weixin.qq.com/s/rMsbcUf9ZPhvfRoyZGW6HA,数组
剑指 Offer 34. 二叉树中和为某一值的路径,1,https://leetcode-cn.com/problems/er-cha-shu-zhong-he-wei-mou-yi-zhi-de-lu-jing-lcof,树
剑指 Offer 17. 打印从1到最大的n位数,1,https://leetcode-cn.com/problems/da-yin-cong-1dao-zui-da-de-nwei-shu-lcof,数学
861. 翻转矩阵后的得分,1,https://leetcode-cn.com/problems/score-after-flipping-matrix,其他
168. Excel表列名称,1,https://leetcode-cn.com/problems/excel-sheet-column-title,其他
剑指 Offer 14- I. 剪绳子,1,https://leetcode-cn.com/problems/jian-sheng-zi-lcof,其他
96. 不同的二叉搜索树,1,https://leetcode-cn.com/problems/unique-binary-search-trees,树
13. 罗马数字转整数,1,https://leetcode-cn.com/problems/roman-to-integer,数学
1190. 反转每对括号间的子串,1,https://leetcode-cn.com/problems/reverse-substrings-between-each-pair-of-parentheses,动态规划
16. 最接近的三数之和,1,https://leetcode-cn.com/problems/3sum-closest,数组
216. 组合总和 III,1,https://leetcode-cn.com/problems/combination-sum-iii,其他
剑指 Offer 32 - II. 从上到下打印二叉树 II,1,https://leetcode-cn.com/problems/cong-shang-dao-xia-da-yin-er-cha-shu-ii-lcof,树
736. Lisp 语法解析,1,https://leetcode-cn.com/problems/parse-lisp-expression,其他
137. 只出现一次的数字 II,1,https://leetcode-cn.com/problems/single-number-ii,数学
